correlation_penalty_coefficient,ensemble_size,aggregator_type,architecture_index,architecture,loss_test
0.5,8,"nn",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}",0.07751306891441345
0.5,16,"arithmetic_mean",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.09910887479782104
0.5,16,"arithmetic_mean",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.10249016433954239
0.5,16,"median",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}], 'voter': 'median'}",0.12068258970975876
0.5,16,"median",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}",0.1129559725522995
0.5,16,"nn",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}], 'voter': 'nn'}",0.19073764979839325
0.5,16,"nn",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}",0.12200628966093063
0.6,8,"arithmetic_mean",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}, {'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.09393108636140823
0.6,8,"arithmetic_mean",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.10521963983774185
0.6,8,"median",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}, {'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}], 'voter': 'median'}",0.20704469084739685
0.6,8,"median",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}",0.11475285142660141
0.6,8,"nn",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}, {'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}], 'voter': 'nn'}",0.5893755555152893
0.6,8,"nn",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}",0.1340373009443283
0.6,16,"arithmetic_mean",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.09521251171827316
0.6,16,"arithmetic_mean",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.08548400551080704
0.6,16,"median",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}], 'voter': 'median'}",0.122959665954113
0.6,16,"median",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}",0.11093997210264206
0.6,16,"nn",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}], 'voter': 'nn'}",0.22156010568141937
